Date,Time of Day,Channel,Revenue,Average Order Size,Conversions,Customer Type,Sales Rep,Business
2023-04-12,Evening,Google Ads,95.35,22.15,6,Returning,Brianna Ryan,Heritage Bakes
2023-08-15,Morning,Walk-in,461.11,108.8,7,New,Emily Smith,Heritage Bakes
2023-09-07,Morning,Walk-in,387.53,103.49,4,Returning,Michelle Howard,Heritage Bakes
2023-02-25,Afternoon,Email,355.7,94.37,31,Returning,William Austin,Heritage Bakes
2023-09-18,Evening,Walk-in,475.37,103.78,6,Returning,Monica Oconnor,Heritage Bakes
2023-09-13,Evening,Instagram,12.27,4.65,0,Returning,Kyle Blake,Heritage Bakes
2023-03-24,Afternoon,Facebook,387.25,178.14,13,Returning,Christopher Banks,Heritage Bakes
2023-08-04,Evening,Referral,470.69,99.9,9,New,Bryan Davis DVM,Heritage Bakes
2023-09-02,Evening,Google Ads,454.63,128.8,4,Returning,Tiffany Hughes,Heritage Bakes
2023-03-05,Night,Walk-in,217.17,59.47,12,Returning,Michael Taylor,Heritage Bakes
2023-12-11,Night,Referral,18.53,4.36,0,Returning,Brendan Kelly,Heritage Bakes
2023-05-27,Afternoon,Referral,326.4,110.84,13,New,Sherry Porter,Heritage Bakes
2023-08-20,Evening,Instagram,336.61,214.99,12,Returning,James Perez,Heritage Bakes
2023-04-01,Night,Walk-in,478.9,225.64,6,New,Miss Gina Walton,Heritage Bakes
2023-02-18,Afternoon,Instagram,127.84,84.38,1,New,Alicia Obrien,Heritage Bakes
2023-04-15,Morning,Walk-in,328.34,112.71,19,Returning,Mrs. Jacqueline Jackson,Heritage Bakes
2023-03-05,Morning,Facebook,209.25,57.47,5,Returning,Kendra Smith,Heritage Bakes
2023-05-05,Night,Google Ads,86.38,19.17,1,Returning,Alexander Stein,Heritage Bakes
2023-11-24,Afternoon,Referral,394.99,176.83,5,New,Shannon Sosa,Heritage Bakes
2023-11-24,Morning,Facebook,202.89,47.39,4,New,Marc White,Heritage Bakes
2023-01-23,Night,Email,242.22,50.33,3,New,Gregory Wiggins,Heritage Bakes
2023-10-07,Afternoon,Facebook,485.06,147.62,5,Returning,Linda Berry,Heritage Bakes
2023-12-23,Night,Instagram,385.83,138.85,7,Returning,Michelle Hobbs,Heritage Bakes
2023-09-03,Afternoon,Email,127.89,76.66,5,New,Charles Fuentes,Heritage Bakes
2023-02-09,Evening,Google Ads,481.86,196.01,32,Returning,Andrew Medina,Heritage Bakes
2023-08-18,Afternoon,Walk-in,229.41,93.73,5,Returning,Teresa Aguirre,Heritage Bakes
2023-10-07,Evening,Instagram,344.49,215.59,8,New,Eddie Bailey,Heritage Bakes
2023-03-22,Evening,Walk-in,234.42,49.19,5,Returning,Joseph Mccullough,Heritage Bakes
2023-09-01,Night,Referral,100.55,41.68,1,New,Mr. Zachary Mora DVM,Heritage Bakes
2023-10-10,Morning,Google Ads,426.22,130.56,7,New,Kimberly Price,Heritage Bakes
2023-07-17,Evening,Google Ads,319.31,68.39,23,Returning,Bruce Spencer,Heritage Bakes
2023-08-15,Morning,Email,415.14,177.41,7,Returning,Jacob Allen,Heritage Bakes
2023-03-04,Night,Google Ads,68.83,14.38,1,Returning,Chelsea Powell,Heritage Bakes
2023-04-20,Afternoon,Instagram,363.76,132.8,9,Returning,Thomas Morse,Heritage Bakes
2023-12-11,Morning,Google Ads,399.74,117.94,9,Returning,Susan Zimmerman,Heritage Bakes
2023-06-15,Evening,Google Ads,211.74,150.31,3,New,Annette Meyer,Heritage Bakes
2023-11-27,Morning,Google Ads,420.29,390.04,4,Returning,Erica Rose,Heritage Bakes
2023-03-20,Night,Referral,285.37,171.7,6,Returning,Kim Long,Heritage Bakes
2023-03-29,Afternoon,Email,85.12,19.65,1,New,Christina Flores,Heritage Bakes
2023-03-19,Afternoon,Email,388.11,128.32,7,Returning,Craig Raymond,Heritage Bakes
2023-11-04,Afternoon,Facebook,403.29,88.74,5,Returning,Jeffrey Miller,Heritage Bakes
2023-07-20,Morning,Email,441.69,108.94,4,Returning,Brian Hoffman,Heritage Bakes
2023-10-29,Morning,Instagram,447.36,202.19,15,Returning,Elizabeth Gay,Heritage Bakes
2023-10-06,Morning,Walk-in,354.31,71.16,3,Returning,Patricia Hale,Heritage Bakes
2023-05-30,Night,Referral,305.33,92.8,6,New,Amanda Arroyo,Heritage Bakes
2023-08-05,Afternoon,Walk-in,491.22,198.43,8,Returning,Kevin Mccullough,Heritage Bakes
2023-03-31,Afternoon,Email,463.94,139.22,8,Returning,Margaret Stevenson,Heritage Bakes
2023-06-02,Evening,Email,447.52,121.83,40,Returning,Amber Turner,Heritage Bakes
2023-04-11,Morning,Instagram,170.53,73.54,12,New,Victor Williams,Heritage Bakes
2023-12-19,Night,Email,363.78,141.98,17,New,Shelly Rodgers,Heritage Bakes
2023-10-06,Night,Facebook,370.91,180,7,Returning,Cassandra Wood,Heritage Bakes
2023-10-20,Afternoon,Walk-in,491.14,348.16,15,Returning,Susan Garcia,Heritage Bakes
2023-03-02,Afternoon,Walk-in,421.87,276.48,8,New,Stephanie Joseph,Heritage Bakes
2023-03-26,Evening,Facebook,41.55,12.1,0,New,Dalton Clark,Heritage Bakes
2023-03-12,Night,Referral,45.14,14.39,0,New,Alexis Weeks,Heritage Bakes
2023-12-05,Evening,Facebook,160.56,139.61,1,New,Michael Glass,Heritage Bakes
2023-09-06,Evening,Facebook,219.76,95.37,9,Returning,David Cervantes,Heritage Bakes
2023-06-29,Afternoon,Referral,402.56,352.6,6,Returning,Victoria Benitez,Heritage Bakes
2023-01-07,Afternoon,Instagram,306.67,69.73,19,New,Jacqueline Monroe,Heritage Bakes
2023-05-10,Afternoon,Walk-in,432.18,90.05,6,New,Charles Sanchez,Heritage Bakes
2023-09-28,Night,Google Ads,489.93,177.06,5,New,Sonia Henderson,Heritage Bakes
2023-02-11,Night,Facebook,10,5.79,0,New,Sharon Sims,Heritage Bakes
2023-07-22,Night,Walk-in,350.2,162.11,21,New,Shawn Doyle,Heritage Bakes
2023-07-28,Night,Facebook,425.35,172.85,4,Returning,Michael Perry,Heritage Bakes
2023-12-17,Night,Walk-in,310.31,206,18,Returning,Donald Santana,Heritage Bakes
2023-02-13,Morning,Facebook,485.51,100.73,7,Returning,Katherine Greene,Heritage Bakes
2023-09-06,Evening,Email,334.83,120.9,3,Returning,Jennifer Dominguez,Heritage Bakes
2023-12-09,Afternoon,Walk-in,271.65,58.15,4,New,Matthew Walker,Heritage Bakes
2023-06-06,Morning,Facebook,299.77,62.02,10,Returning,Ashley Barrera,Heritage Bakes
2023-04-01,Night,Referral,489.18,113.48,17,Returning,Clifford Murphy DVM,Heritage Bakes
2023-05-15,Afternoon,Google Ads,125.9,48.06,1,New,Michael Arias,Heritage Bakes
2023-09-20,Evening,Google Ads,390.19,135.7,6,New,Joshua Mitchell,Heritage Bakes
2023-02-23,Morning,Referral,217.56,59.03,7,New,Ashley Wilson,Heritage Bakes
2023-05-12,Night,Referral,140.48,32.59,1,New,Stacey Clements,Heritage Bakes
2023-09-19,Morning,Instagram,64.29,15.17,2,Returning,Kathleen Martinez,Heritage Bakes
2023-09-02,Morning,Instagram,160.83,116.09,2,Returning,Julie Rodriguez MD,Heritage Bakes
2023-11-25,Night,Instagram,299,62.8,7,New,Cathy Farmer,Heritage Bakes
2023-02-26,Evening,Walk-in,458.73,95.34,16,New,Dana Gilbert,Heritage Bakes
2023-07-13,Evening,Walk-in,468.35,176.98,15,Returning,Charles Harper,Heritage Bakes
2023-10-24,Night,Instagram,468.4,222.01,33,Returning,Timothy Wang,Heritage Bakes
2023-09-13,Night,Walk-in,416.36,101.51,25,Returning,Daniel Stewart,Heritage Bakes
2023-01-10,Afternoon,Facebook,96.54,26.31,2,Returning,Tiffany Peterson,Heritage Bakes
2023-05-07,Night,Instagram,406.88,99.76,7,New,Tammy Bell,Heritage Bakes
2023-01-14,Morning,Email,463.97,114.12,5,Returning,Mathew Myers,Heritage Bakes
2023-08-15,Night,Instagram,392.11,120.76,9,New,Edgar Brown,Heritage Bakes
2023-04-24,Morning,Email,249.11,87.3,2,New,Cory Barrett,Heritage Bakes
2023-11-22,Evening,Email,200.14,68.81,7,Returning,Seth Jones,Heritage Bakes
2023-03-17,Night,Referral,177.34,40.13,8,Returning,Joseph Hawkins,Heritage Bakes
2023-08-10,Night,Walk-in,174.49,36.99,1,New,Victor Brown,Heritage Bakes
2023-11-14,Morning,Email,214.21,155.37,3,Returning,Jennifer Ferguson,Heritage Bakes
2023-03-02,Afternoon,Google Ads,209.73,46.3,2,Returning,Carolyn Cantu,Heritage Bakes
2023-07-09,Evening,Referral,98.79,24.5,1,Returning,Charles Garcia,Heritage Bakes
2023-01-24,Morning,Instagram,249.21,98.31,3,Returning,James Hart,Heritage Bakes
2023-08-05,Evening,Google Ads,376.12,146.86,5,Returning,Patricia Wilson,Heritage Bakes
